City Name,Country,Region,CBD Latitude,CBD Longitude,Land CoverT1,Land Cover T2,Land Cover T3,Population T1,Population T2,Population T3,Population Annual Change T2-T3,Area T1 (ha),Area T2 (ha),Area T3 (ha),Area Annual Change T2-T3,Longitude,Latitude
Accra,Ghana,Sub-Saharan Africa,5.615,-0.159,1/1/1991,2/1/2000,3/1/2014,"1,307,784","2,513,026","4,429,649",4.00%,"10,022","32,171","61,781",4.60%,5.5571096,-0.2012376
Addis Ababa,Ethiopia,Sub-Saharan Africa,9.001,38.756,1/1/1986,12/1/2000,12/1/2010,"1,445,701","2,276,356","3,009,130",2.80%,"7,531","11,713","21,133",5.90%,9.0358287,38.7524127
Ahmedabad,India,South and Central Asia,23.037,72.589,12/1/1989,10/1/2000,10/1/2013,"3,737,723","4,718,391","6,232,952",2.10%,"12,174","15,916","21,103",2.20%,23.0216238,72.5797068
Ahvaz,Iran,South and Central Asia,31.32,48.665,11/1/1991,9/1/2000,9/1/2013,"698,310","853,527","1,178,560",2.50%,"7,079","9,200","12,873",2.60%,31.3230637,48.67932
Alexandria,Egypt,Western Asia and North Africa,31.152,29.884,10/1/1987,4/1/1999,7/1/2013,"2,558,891","3,132,780","4,345,193",2.30%,"7,818","15,514","22,782",2.70%,44.83495335,8.745030418605868
Algiers,Algeria,Western Asia and North Africa,36.732,3.14,8/1/1987,6/1/2000,7/1/2014,"1,535,735","2,184,791","3,085,561",2.50%,"7,446","15,639","27,798",4.10%,36.7753606,3.0601882
"Anqing, Anhui",China,East Asia and the Pacific,30.536,117.05,9/1/1990,4/1/2000,10/1/2013,"402,524","350,035","642,626",4.50%,"2,274","2,788","8,779",8.50%,30.6592336,116.6302585
Antwerp,Belgium,Europe and Japan,51.22,4.403,7/1/1990,8/1/2000,9/1/2013,"885,820","1,107,990","1,277,376",1.10%,"21,677","35,705","43,115",1.40%,51.2211097,4.3997081
Arusha,Tanzania,Sub-Saharan Africa,36.695,-3.37,10/1/1988,9/1/2000,10/1/2013,"84,150","181,168","377,169",5.60%,178,694,"1,563",6.20%,-3.3696827,36.6880794
Astrakhan,Russia,Europe and Japan,46.34,48.02,7/1/1988,9/1/2003,3/1/2014,"475,766","532,541","567,629",0.60%,"5,623","13,289","14,857",1.10%,46.3498308,48.0326203
